timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_mag_sq,gyro_mag_sq,label_id
1774620314310,-0.089897394,-1.5910823,-1.4441175,0.06864739,-0.04516539,-0.029693913,4.6251,0.0076341047,1
1774620314329,0.20329422,-1.7042646,-2.6843634,0.19786504,0.033624236,-0.062202334,10.151653,0.044150293,1
1774620314349,0.36805952,-1.7863367,-3.6282449,0.27560547,0.09326187,-0.080121934,16.490627,0.09107568,1
1774620314369,0.40919,-1.7270651,-4.1087613,0.3279487,0.13899349,-0.056007084,20.03211,0.13000633,1
1774620314389,0.36044842,-1.3068838,-4.323383,0.27885297,0.14838628,0.022166347,20.529507,0.10026881,1
1774620314409,0.44810444,-0.7510252,-4.630274,0.14670424,0.14826971,0.0833528,22.204273,0.05045373,1
1774620314430,0.8263433,-0.399518,-4.50343,0.034656774,0.22772549,0.113746166,21.123339,0.06599818,1
1774620314453,1.0071775,0.050374508,-3.7747197,0.054441616,0.371049,0.12838495,15.265452,0.15712394,1
1774620314469,1.0393404,0.53404045,-2.0188842,0.21240391,0.5024483,0.12188993,5.441321,0.31242687,1
1774620314489,0.9174899,0.99744415,-0.25053358,0.36961678,0.5435335,0.1110982,1.8994496,0.44438803,1
1774620314509,0.84930223,1.4557667,0.65511894,0.38190734,0.46980664,0.0902142,3.2697518,0.37471008,1
1774620314529,0.59583545,1.7305241,0.81344223,0.28016865,0.37011638,0.12217305,4.0114217,0.23040687,1
1774620314549,0.2628479,2.209271,0.84753704,0.15927795,0.42302585,0.1605603,5.668286,0.23009993,1
1774620314569,0.05821377,2.406074,1.4969363,0.15508117,0.4838126,0.16074349,8.0334,0.28396326,1
1774620314588,-0.4406141,2.51972,3.4530516,0.27587193,0.3614064,0.1757653,18.466696,0.23761335,1
1774620314609,-0.8253864,2.7268548,4.563343,0.22894123,0.20281126,0.16725516,28.941101,0.12152079,1
1774620314628,-0.7601749,2.3145971,2.8773289,-0.08961466,0.2247278,0.20412691,14.214247,0.10020117,1
1774620314654,-0.8779024,2.3262186,1.133771,-0.38400573,0.31051207,0.3525465,7.4674425,0.3681672,1
1774620314668,-1.7922685,2.0705686,2.3430486,-0.33479345,0.22572702,0.5373549,12.989357,0.45178962,1
1774620314688,-1.8382549,0.9969344,4.3083515,-0.0944443,0.0076607964,0.54260087,22.934952,0.30339414,1
1774620314708,-0.6850221,-0.48094416,3.6772733,0.06470042,-0.016387442,0.37537903,14.222901,0.1453641,1
1774620314728,0.10795134,-1.0931621,0.9290376,0.053892035,0.29247588,0.22058097,2.0697675,0.13710245,1
1774620314748,-0.09329903,-0.8554101,-1.2781014,-0.08028848,0.57067937,0.22149694,2.3739743,0.38118207,1
1774620314768,-1.1089346,-0.27171755,-1.5624413,-0.274906,0.55106103,0.36014068,3.7447894,0.5089429,1
1774620314791,-1.4839137,-0.14736462,-1.3636088,-0.51838607,0.2799688,0.48902526,4.083145,0.58625233,1
1774620314808,-0.9361385,-0.5288596,-1.798367,-0.6669722,0.07932255,0.53508997,4.390172,0.73746526,1
1774620314828,-0.14613938,-0.90571594,-2.3802857,-0.62042457,0.062235642,0.5500119,6.507438,0.691313,1
1774620314848,0.2684545,-1.1363659,-2.652214,-0.41758,0.18577431,0.5657998,8.3976345,0.5290146,1
1774620314867,0.3954212,-1.2428641,-2.8359742,-0.18282656,0.29074386,0.58630073,9.743818,0.4617061,1
1774620314887,0.47909898,-1.2465553,-2.9400153,-0.035539433,0.2384173,0.57664144,10.427126,0.39062122,1
1774620314907,0.79101604,-1.3630753,-3.052534,0.025197359,0.1074843,0.5104422,11.801645,0.27273902,1
1774620314927,1.2442861,-1.3284395,-3.4702435,0.040835373,0.076991,0.4242249,15.355589,0.18756191,1
1774620314948,1.5379329,-0.9676733,-4.0319014,0.029011102,0.20995578,0.34187135,19.557858,0.1617991,1
1774620314967,1.5262704,-0.47543955,-4.043573,0.06296841,0.4040404,0.29783842,18.906025,0.2559214,1
1774620314987,1.1364176,0.11240196,-2.9392023,0.10840026,0.5056958,0.28907847,9.942989,0.35104525,1
1774620315007,0.78663105,0.6480255,-1.486968,0.18755628,0.41478217,0.28243357,3.2497993,0.2869903,1
1774620315026,0.81986415,0.98724127,0.16681767,0.23004039,0.13121611,0.2126204,1.6746507,0.11534369,1
1774620315048,1.2424902,1.1402788,0.92218876,0.19708231,-0.11676053,0.10057293,3.6944497,0.06258937,1
1774620315066,1.5215757,1.3601308,0.7597933,0.16492362,-0.12487098,0.008093798,4.742434,0.04285807,1
1774620315087,1.4444275,1.8625479,0.9717064,0.20779078,0.008976455,-0.046897396,6.4996686,0.045456953,1
1774620315107,1.1053085,2.1087909,2.3512897,0.26559648,-0.081670746,-0.14720386,11.197269,0.098880574,1
1774620315126,1.329699,2.2656884,3.3232746,0.06874732,-0.22452794,-0.3097293,17.945599,0.15107124,1
1774620315150,1.8952017,2.623042,1.7577925,-0.38323966,0.03224196,-0.43053675,13.561974,0.33327407,1
1774620315166,1.3137671,3.2048845,1.3211718,-0.56751513,0.37987557,-0.3972123,13.7427635,0.6241565,1
1774620315186,-0.38442028,2.9766188,5.1105566,-0.23738477,0.13654536,-0.2529062,35.125824,0.13895771,1
1774620315206,-1.1111794,1.8389754,8.352163,0.025830206,-0.4769845,-0.29144335,74.37518,0.31312063,1
1774620315226,0.6108034,0.48498154,5.6073494,-0.008909839,-0.7371851,-0.4708392,32.050655,0.76521087,1
1774620315245,1.6080114,0.19352007,1.3202057,-0.15036811,-0.5021319,-0.5526598,4.3660936,0.58017987,1
1774620315266,1.2896348,0.48753786,-0.8183756,-0.25818548,-0.17158519,-0.49875113,2.5705898,0.3448539,1
1774620315286,0.95108944,0.49174643,-0.98932505,-0.35646018,-0.10510279,-0.46199596,2.1251497,0.35155073,1
